id,occupancy_status,unit_status,units_in_building,unit_floor,year_built,bedrooms
12105965,1,80,10,6,6,2
12105972,1,32,9,2,11,0
12105978,1,6,1,-2,8,3
12105981,1,6,2,1,10,3
12105989,1,80,7,4,3,2
12105995,1,97,10,5,7,1
12106005,1,32,5,2,3,1
12106035,1,6,2,2,10,3
12106037,1,32,8,1,3,1
12106049,1,6,2,2,1,2
12106052,1,80,5,2,1,1
12106054,1,80,10,3,6,2
12106056,1,97,10,6,5,1
12106064,1,32,7,3,2,3
12106101,1,32,5,1,2,1
12106104,1,32,8,2,4,2
12106108,1,6,2,3,5,3
12106111,1,6,4,2,9,3
12106173,1,6,2,2,6,1
12106189,1,80,2,2,4,3
12106196,1,32,7,1,2,2
12106198,4,4,2,1,4,1
12106216,1,90,5,4,3,1
12106225,4,4,3,1,2,1
12106237,1,80,10,1,3,2
12106249,1,80,2,2,2,2
12106252,3,3,1,-2,4,3
12106287,1,80,3,2,1,4
12106289,1,80,2,1,2,2
12106324,1,32,5,1,10,3
12106339,1,32,10,4,3,0
12106375,1,6,2,1,3,3
12106406,1,32,9,1,3,2
12106443,1,97,10,6,6,3
12106466,1,6,2,1,5,5
12106471,1,80,9,1,4,1
12106472,1,80,9,5,10,1
12106492,1,6,2,1,1,4
12106496,1,5,10,5,11,1
12106507,1,5,9,4,6,2
12106521,1,80,4,2,4,3
12106531,1,32,9,3,6,1
12106582,1,32,8,3,3,1
12106606,1,32,9,3,3,1
12106624,1,80,2,1,3,2
12106643,1,12,5,1,10,2
12106652,1,32,7,0,2,3
12106655,4,4,8,6,4,2
12106667,1,5,10,2,6,2
12106691,1,97,10,5,7,1
12106723,1,5,10,2,6,1
12106736,1,96,10,5,6,1
12106745,1,80,3,2,2,2
12106749,1,32,7,1,3,1
12106757,1,80,2,2,2,2
12106773,1,6,2,1,3,3
12106778,1,80,3,1,2,1
12106801,1,80,1,-2,4,2
12106803,1,5,9,5,5,2
12106805,4,4,3,1,10,3
12106808,1,32,8,1,3,1
12106811,1,80,10,5,5,1
12106816,1,80,7,2,2,3
12106818,1,12,8,5,10,2
12106819,1,5,10,5,6,2
12106824,1,80,3,3,2,2
12106827,1,97,9,2,3,1
12106873,1,32,7,3,2,1
12106874,1,80,2,3,4,1
12106884,1,80,7,4,4,2
12106889,1,32,9,2,3,1
12106897,1,5,8,5,6,1
12106900,1,80,2,2,4,1
12106908,1,80,3,1,2,2
12106914,1,80,2,3,1,1
12106934,1,80,6,5,3,1
12106976,1,97,10,6,7,2
12106980,1,6,1,-2,4,3
12107006,3,3,3,3,10,1
12107017,1,80,2,2,2,2
12107049,1,32,8,3,3,1
12107053,1,80,10,6,6,2
12107062,1,6,3,2,6,4
12107073,1,97,10,6,6,1
12107077,1,5,8,5,4,3
12107089,1,80,2,2,3,3
12107114,1,6,1,-2,4,3
12107116,1,5,8,2,5,1
12107161,1,6,2,1,2,1
12107179,1,97,10,5,8,1
12107194,4,4,8,4,2,2
12107211,1,97,9,5,5,2
12107217,1,32,5,3,4,2
12107218,1,97,9,5,9,1
12107238,1,80,3,2,4,1
12107242,1,80,9,1,4,2
12107250,3,96,10,5,5,1
12107284,1,97,9,2,6,1
12107299,1,32,10,5,10,2
12107309,1,32,10,5,11,1
12107314,1,6,1,-2,4,4
12107323,1,5,10,7,5,2
12107325,1,80,9,6,6,2
12107375,1,80,1,-2,10,2
12107386,1,32,5,4,11,1
12107394,1,5,7,2,6,2
12107395,4,4,2,2,3,0
12107407,4,4,7,1,4,2
12107418,1,5,8,2,5,2
12107431,4,4,8,1,4,1
12107433,1,32,8,4,2,2
12107437,1,80,4,1,4,2
12107481,1,6,2,2,3,2
12107503,1,80,5,2,4,2
12107512,1,80,10,1,6,1
12107531,1,80,8,1,4,2
12107541,1,2,10,6,5,2
12107557,1,32,5,1,4,3
12107561,1,80,4,1,2,1
12107567,1,12,10,3,10,2
12107579,1,32,5,3,3,2
12107580,1,6,2,2,7,4
12107597,1,32,4,2,4,1
12107614,1,12,5,1,2,3
12107618,1,80,3,1,1,3
12107621,1,32,8,4,3,2
12107626,1,80,9,5,9,1
12107628,1,32,10,1,3,1
12107634,1,80,2,-2,10,3
12107652,1,32,9,1,4,1
12107663,1,80,10,6,6,2
12107667,1,12,5,5,10,4
12107699,1,5,8,1,5,1
12107705,1,6,2,1,4,2
12107710,4,4,1,-2,3,3
12107718,1,6,9,4,6,0
12107721,1,6,2,1,2,3
12107739,1,97,10,5,9,2
12107754,1,2,7,3,3,2
12107779,4,4,4,1,2,0
12107782,1,6,1,-2,3,3
12107828,1,6,2,1,2,3
12107843,1,5,9,3,5,2
12107857,1,6,1,2,1,4
12107863,4,4,1,-2,2,2
12107870,1,5,8,4,6,2
12107874,1,2,10,6,6,3
12107882,1,32,8,2,3,2
12107917,1,97,10,6,9,2
12107940,4,4,10,3,6,1
12107944,1,80,2,2,4,3
12107953,1,32,10,5,11,2
12107984,1,96,3,1,10,3
12107994,1,5,9,5,6,2
12108015,4,4,9,1,9,1
12108028,4,4,3,1,3,1
12108047,1,6,1,-2,2,4
12108052,1,80,3,2,2,3
12108059,1,97,10,5,6,2
12108062,1,96,10,2,5,2
12108077,1,5,10,7,5,1
12108098,1,80,2,1,6,2
12108101,1,32,9,5,3,1
12108108,1,80,9,3,3,2
12108112,1,32,8,5,4,3
12108150,1,5,9,5,5,3
12108151,1,80,4,1,1,5
12108152,3,96,10,5,5,2
12108169,1,5,9,5,6,2
12108230,4,4,3,2,2,1
12108249,1,32,8,1,4,1
12108254,1,6,1,-2,3,3
12108259,1,5,9,5,6,2
12108260,1,5,10,1,6,3
12108294,4,4,9,5,6,1
12108295,1,80,4,3,4,2
12108298,1,6,4,1,3,2
12108304,2,80,5,2,3,2
12108307,1,97,10,6,6,2
12108328,1,97,10,6,6,1
12108342,1,80,6,3,2,1
12108349,1,6,1,-2,1,4
12108364,1,80,3,2,4,1
12108369,1,6,2,2,4,2
12108370,1,6,3,1,4,3
12108380,1,5,8,5,5,2
12108385,1,32,7,4,4,1
12108418,1,80,3,2,4,1
12108464,1,96,3,3,10,2
12108481,1,32,10,2,8,1
12108494,1,6,1,-2,3,3
12108524,1,32,9,2,5,1
12108526,1,97,10,6,5,1
12108546,1,32,8,4,4,2
12108555,1,6,1,-2,3,4
12108569,1,32,8,4,4,1
12108586,1,6,4,2,4,2
12108603,1,32,8,4,3,2
12108616,1,6,2,2,6,3
12108640,4,4,8,1,2,1
12108641,1,32,5,2,3,2
12108674,1,6,2,2,2,3
12108691,1,5,10,5,5,1
12108743,1,97,10,5,5,1
12108759,1,6,3,2,4,1
12108793,1,97,9,5,11,0
12108798,1,80,9,3,10,1
12108802,1,2,9,2,6,3
12108804,1,80,3,2,4,1
12108813,1,32,5,2,2,2
12108837,1,32,8,2,3,1
12108852,1,80,1,-2,2,2
12108855,1,97,10,5,6,2
12108874,1,32,7,3,3,1
12108875,1,80,4,4,2,3
12108877,1,80,3,3,6,1
12108879,1,80,5,4,11,2
12108889,4,4,1,-2,2,1
12108893,1,80,9,3,6,1
12108914,1,32,6,3,4,1
12108916,1,6,1,-2,3,4
12108918,1,5,9,2,6,3
12108924,1,5,10,5,5,3
12108946,1,90,5,1,4,2
12108950,1,5,8,5,5,2
12108960,1,5,8,2,6,1
12108967,1,5,8,5,5,1
12108970,1,32,9,4,3,1
12108980,1,32,9,3,6,2
12109003,1,6,2,2,9,3
12109016,1,80,5,1,2,1
12109030,1,5,10,5,6,2
12109037,1,80,4,2,3,1
12109039,1,80,4,2,4,2
12109040,1,32,8,2,4,1
12109043,1,80,9,5,5,1
12109055,1,80,7,2,3,1
12109057,1,80,3,2,4,2
12109086,1,6,1,-2,4,5
12109091,1,5,10,6,5,2
12109103,1,32,10,7,11,1
12109106,1,80,6,2,4,1
12109107,1,32,9,5,5,1
12109112,1,12,8,1,10,2
12109114,1,12,7,4,10,1
12109147,1,80,8,3,4,2
12109156,1,80,2,1,4,1
12109158,1,32,9,3,3,1
12109168,1,80,2,2,3,3
12109174,1,32,5,-1,3,2
12109198,1,6,2,2,3,2
12109203,1,97,10,6,6,1
12109208,1,2,9,2,4,0
12109226,1,80,9,4,4,2
12109229,1,80,4,3,3,2
12109237,1,80,4,2,4,1
12109243,1,2,9,5,5,2
12109248,1,80,5,1,3,1
12109261,4,4,10,4,6,1
12109266,4,4,3,2,2,0
12109293,1,80,10,5,6,1
12109301,1,5,10,3,11,3
12109302,1,80,3,-2,10,3
12109336,1,6,2,2,4,2
12109343,1,97,10,5,6,2
12109344,1,6,3,2,10,3
12109347,1,97,10,6,5,2
12109355,1,5,8,1,4,2
12109361,1,5,8,5,5,2
12109389,1,80,3,2,4,2
12109397,1,32,8,2,3,1
12109405,1,6,1,-2,3,4
12109415,1,80,2,2,1,1
12109416,1,5,9,2,6,3
12109452,1,2,10,5,4,1
12109454,4,4,1,-2,4,2
12109455,1,97,9,5,9,2
12109467,1,80,3,2,4,2
12109471,1,5,9,3,6,3
12109472,1,6,2,2,8,3
12109474,1,6,3,1,4,4
12109490,1,80,5,4,4,2
12109498,1,32,9,5,11,2
12109502,1,80,10,6,6,2
12109503,4,4,3,0,3,2
12109507,1,97,10,6,6,2
12109509,1,6,3,1,2,1
12109531,1,12,4,-2,2,3
12109532,1,2,10,5,6,1
12109533,2,5,8,1,8,2
12109561,1,5,8,4,5,2
12109575,1,80,6,2,4,2
12109598,2,80,2,2,5,2
12109612,1,80,9,1,3,1
12109627,1,80,2,2,2,3
12109629,1,32,5,2,3,1
12109644,1,5,8,5,5,2
12109650,1,32,8,5,10,2
12109693,1,12,7,3,9,2
12109695,1,6,1,-2,3,4
12109703,1,80,3,2,10,3
12109705,1,80,3,2,8,2
12109708,1,80,2,2,5,2
12109712,1,5,9,3,6,2
12109747,1,6,2,1,2,6
12109759,1,5,9,5,6,1
12109766,1,32,10,5,5,2
12109768,1,6,1,-2,2,3
12109792,1,80,5,3,2,3
12109802,1,80,4,2,3,2
12109806,1,32,4,2,4,2
12109823,1,6,1,-2,9,2
12109829,1,80,2,2,4,2
12109851,1,6,1,-2,10,3
12109855,1,80,4,2,4,2
12109860,1,32,9,5,11,3
12109899,1,6,3,1,3,6
12109900,1,96,10,6,6,1
12109901,1,5,8,3,6,3
12109917,1,90,7,4,4,2
12109928,1,32,10,7,10,2
12109964,1,32,9,5,3,1
12109973,4,4,4,0,4,0
12109980,1,5,9,5,5,2
12109982,1,32,10,5,6,2
12109992,1,6,4,2,2,1
12109997,2,32,7,1,10,1
12110015,1,97,10,6,6,3
12110017,1,32,8,1,3,1
12110037,1,80,3,1,2,1
12110088,1,80,4,4,4,5
12110108,1,97,3,2,6,2
12110126,1,32,3,1,10,2
12110136,2,80,4,3,4,1
12110146,1,80,2,2,3,2
12110157,1,32,5,4,2,1
12110164,1,5,6,4,4,2
12110168,1,97,9,5,5,2
12110172,1,6,1,-2,4,4
12110190,1,6,4,-2,3,3
12110192,1,80,5,3,3,3
12110204,1,32,10,2,5,1
12110224,4,4,3,2,1,0
12110239,4,4,9,3,6,0
12110243,1,32,8,5,5,1
12110263,1,5,9,3,5,1
12110266,4,4,5,2,4,2
12110301,1,97,9,2,7,2
12110305,1,32,9,5,4,1
12110309,1,6,1,-2,2,4
12110311,1,32,8,2,3,2
12110318,1,32,9,4,6,2
12110322,2,32,8,3,2,2
12110329,1,97,10,5,7,1
12110347,1,80,4,2,4,1
12110348,1,80,2,1,4,2
12110358,1,6,1,-2,3,2
12110382,1,32,8,4,3,1
12110393,1,6,1,-2,3,5
12110394,1,2,5,1,3,2
12110396,1,97,10,6,6,1
12110400,1,80,10,6,6,0
12110408,1,6,3,3,4,3
12110417,1,96,9,5,6,2
12110427,1,6,1,-2,2,4
12110456,1,96,10,6,6,1
12110465,1,80,2,1,1,2
12110493,1,80,5,3,4,1
12110496,1,5,10,1,6,1
12110525,1,80,10,2,5,1
12110554,1,5,8,3,5,1
12110563,1,5,8,1,4,2
12110578,1,5,8,2,4,2
12110585,1,80,4,1,4,2
12110593,1,32,6,1,5,1
12110611,1,80,10,7,6,1
